姓名,职位,杰出票数,优秀票数
Paul Anthony D'Souza,杭州默沙东制药有限公司厂长,14178,11164
丁敏儿,浙江华鼎集团有限责任公司董事长,121926,12343
于英涛,新华三技术有限公司总裁兼首席执行官,361626,11515
万 霖,浙江菜鸟供应链管理有限公司总裁,12110,11151
王秀春,华滋国际海洋集团董事局主席,14906,10917
毛绍融,杭州制氧机集团股份有限公司总经理,16219,11184
卢斯侃,金帝联合控股集团有限公司董事长,270442,24237
刘启宏,浙江长龙航空有限公司董事长,402993,13024
芦俊,杭州市燃气集团有限公司党委书记、董事长,252631,11315
李水荣,浙江荣盛控股集团有限公司董事长,14473,11370
杨宝庆,浙江泰普森（控股）集团创始人兼董事长,308943,10980
邱建林,浙江恒逸集团有限公司董事长,27729,11512
余海军,浙江宝利德股份有限公司董事长,80766,11347
张良伦,杭州贝贝集团有限公司创始人兼CEO,11784,11041
张慧勤,杭州联华华商集团有限公司党委书记、董事长,203765,22700
陈鱼海,浙江大华集团总裁,305922,11169
陈晓锋,江科发资本管理有限公司董事长,14160,10794
陈越孟,浙商创投股份有限公司董事长、总裁,11379,10957
林俊波,浙江新湖集团股份有限公司董事长,14830,11374
罗旭峰,南华期货股份有限公司董事长,198442,10882
罗忠平,浙江富冶集团有限公司董事长、总经理,362664,11851
周俊良,杭州西奥电梯有限公司总裁,287618,11527
郑斌,杭州汽轮动力集团有限公司党委书记、董事长,370112,11481
宗馥莉,宏胜饮料集团有限公司总裁,16117,12025
胡一平,德信地产集团有限公司董事长,12584,10879
胡乃生,杭州通达集团有限公司董事长,13673,11074
胡丹锋,浙江华铁应急设备科技股份有限公司董事长,117411,11593
胡惠康,深圳富春东方（集团）有限公司董事长、深圳市杭州商会会长,167802,10832
俞先富,杭州萧宏建设环境集团有限公司党委书记、董事长,17890,10856
姜广勇,杭州九阳小家电有限公司董事长,11452,10703
夏云龙,海外海集团有限公司执行总经理,12700,10854
倪良正,圣奥集团有限公司董事长,323399,10973
徐国耀,浙江中豪控股集团有限公司董事长,464463,10851
